# HELP free5gc_sbi_inbound_request_duration_seconds Histogram of request latencies
# TYPE free5gc_sbi_inbound_request_duration_seconds histogram
free5gc_sbi_outbound_request_duration_seconds_count{method="POST",nf_type="ausf",status_code="200 OK",target_service_name="nudm-ueau"} 21
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.0001"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.005"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.01"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.02"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.025"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="0.05"} 11
free5gc_sbi_outbound_request_duration_seconds_bucket{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau",le="+Inf"} 21
free5gc_sbi_outbound_request_duration_seconds_sum{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau"} 1.017764872
free5gc_sbi_outbound_request_duration_seconds_count{method="POST",nf_type="ausf",status_code="201 Created",target_service_name="nudm-ueau"} 21
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.0001"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.005"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.01"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.02"} 0
free5gc_sbi_outbound_request_duration_seconds_bucket{method="PUT",nf_type="ausf",status_code="201 Created",target_service_name="nnrf-nfm",le="0.025"} 0
